topology,iteration,train_median_num_pairs_retained,test_median_num_pairs_retained,train_accuracy,test_accuracy,roc_auc_test,aps,confusion_matrix,classifier_path,cder_models_path,features_df_path,runtime
HHH,0,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1125.0, 'red': 1068.0}, 'train_h_2_pairs': {'green': 794.0, 'red': 742.5}}","{'test_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'test_h_1_pairs': {'green': 1121.0, 'red': 1071.0}, 'test_h_2_pairs': {'green': 792.0, 'red': 743.0}}",0.9437689969604863,0.7919191919191919,0.8708148148148148,0.8811808122920062,"[[170  55]
 [ 48 222]]",classifiers/sme_cder_HHH_rf_clf_gs_0.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_0.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_0.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_0.pickle']","['features_dataframes/sme_cder_train_X_HHH_0.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_0.csv', 'features_dataframes/sme_cder_test_X_HHH_0.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_0.csv']",33047.22261238098
HHH,1,"{'train_h_0_pairs': {'green': 730.0, 'red': 710.5}, 'train_h_1_pairs': {'green': 1124.5, 'red': 1069.0}, 'train_h_2_pairs': {'green': 793.0, 'red': 743.0}}","{'test_h_0_pairs': {'green': 731.0, 'red': 714.0}, 'test_h_1_pairs': {'green': 1127.0, 'red': 1068.0}, 'test_h_2_pairs': {'green': 795.0, 'red': 741.0}}",0.9954407294832827,0.8141414141414142,0.8916213991769546,0.8979342937449781,"[[173  52]
 [ 40 230]]",classifiers/sme_cder_HHH_rf_clf_gs_1.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_1.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_1.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_1.pickle']","['features_dataframes/sme_cder_train_X_HHH_1.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_1.csv', 'features_dataframes/sme_cder_test_X_HHH_1.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_1.csv']",33165.093940496445
HHH,2,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1125.0, 'red': 1069.0}, 'train_h_2_pairs': {'green': 793.0, 'red': 741.0}}","{'test_h_0_pairs': {'green': 732.0, 'red': 709.0}, 'test_h_1_pairs': {'green': 1123.0, 'red': 1069.0}, 'test_h_2_pairs': {'green': 794.0, 'red': 748.0}}",0.9620060790273556,0.8282828282828283,0.8922304526748972,0.8929944855683483,"[[177  48]
 [ 37 233]]",classifiers/sme_cder_HHH_rf_clf_gs_2.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_2.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_2.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_2.pickle']","['features_dataframes/sme_cder_train_X_HHH_2.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_2.csv', 'features_dataframes/sme_cder_test_X_HHH_2.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_2.csv']",36004.423268556595
HHH,3,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1124.0, 'red': 1068.0}, 'train_h_2_pairs': {'green': 794.0, 'red': 743.0}}","{'test_h_0_pairs': {'green': 734.0, 'red': 713.0}, 'test_h_1_pairs': {'green': 1130.0, 'red': 1070.0}, 'test_h_2_pairs': {'green': 791.5, 'red': 741.0}}",0.9721377912867275,0.793939393939394,0.8783703703703704,0.8929486205135685,"[[176  49]
 [ 53 217]]",classifiers/sme_cder_HHH_rf_clf_gs_3.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_3.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_3.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_3.pickle']","['features_dataframes/sme_cder_train_X_HHH_3.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_3.csv', 'features_dataframes/sme_cder_test_X_HHH_3.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_3.csv']",33144.40923452377
HHH,4,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1125.0, 'red': 1069.0}, 'train_h_2_pairs': {'green': 793.0, 'red': 741.0}}","{'test_h_0_pairs': {'green': 730.5, 'red': 709.0}, 'test_h_1_pairs': {'green': 1126.0, 'red': 1067.0}, 'test_h_2_pairs': {'green': 797.5, 'red': 745.0}}",0.9235055724417427,0.7636363636363637,0.8616625514403293,0.883638983912902,"[[163  62]
 [ 55 215]]",classifiers/sme_cder_HHH_rf_clf_gs_4.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_4.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_4.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_4.pickle']","['features_dataframes/sme_cder_train_X_HHH_4.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_4.csv', 'features_dataframes/sme_cder_test_X_HHH_4.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_4.csv']",36586.31405258179
HHH,5,"{'train_h_0_pairs': {'green': 731.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1126.0, 'red': 1070.0}, 'train_h_2_pairs': {'green': 794.0, 'red': 743.0}}","{'test_h_0_pairs': {'green': 729.5, 'red': 709.0}, 'test_h_1_pairs': {'green': 1121.0, 'red': 1065.0}, 'test_h_2_pairs': {'green': 790.0, 'red': 737.0}}",0.9351570415400202,0.8121212121212121,0.8959341563786007,0.9034811204816695,"[[181  44]
 [ 49 221]]",classifiers/sme_cder_HHH_rf_clf_gs_5.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_5.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_5.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_5.pickle']","['features_dataframes/sme_cder_train_X_HHH_5.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_5.csv', 'features_dataframes/sme_cder_test_X_HHH_5.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_5.csv']",33179.56814098358
HHH,6,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1125.5, 'red': 1069.0}, 'train_h_2_pairs': {'green': 794.0, 'red': 743.0}}","{'test_h_0_pairs': {'green': 731.0, 'red': 711.0}, 'test_h_1_pairs': {'green': 1121.0, 'red': 1068.0}, 'test_h_2_pairs': {'green': 791.0, 'red': 740.0}}",0.977710233029382,0.8262626262626263,0.8970534979423869,0.9074926182031519,"[[176  49]
 [ 37 233]]",classifiers/sme_cder_HHH_rf_clf_gs_6.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_6.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_6.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_6.pickle']","['features_dataframes/sme_cder_train_X_HHH_6.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_6.csv', 'features_dataframes/sme_cder_test_X_HHH_6.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_6.csv']",33149.37564396858
HHH,7,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1125.0, 'red': 1068.0}, 'train_h_2_pairs': {'green': 794.0, 'red': 742.0}}","{'test_h_0_pairs': {'green': 731.5, 'red': 712.0}, 'test_h_1_pairs': {'green': 1126.0, 'red': 1071.0}, 'test_h_2_pairs': {'green': 792.5, 'red': 746.0}}",0.9797365754812564,0.7838383838383839,0.8737777777777778,0.8861285600736031,"[[169  56]
 [ 51 219]]",classifiers/sme_cder_HHH_rf_clf_gs_7.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_7.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_7.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_7.pickle']","['features_dataframes/sme_cder_train_X_HHH_7.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_7.csv', 'features_dataframes/sme_cder_test_X_HHH_7.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_7.csv']",34922.079773664474
HHH,8,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1125.0, 'red': 1069.0}, 'train_h_2_pairs': {'green': 793.5, 'red': 743.0}}","{'test_h_0_pairs': {'green': 732.0, 'red': 711.0}, 'test_h_1_pairs': {'green': 1127.0, 'red': 1069.0}, 'test_h_2_pairs': {'green': 793.0, 'red': 742.0}}",0.993920972644377,0.8222222222222222,0.8905514403292181,0.893851561126116,"[[177  48]
 [ 40 230]]",classifiers/sme_cder_HHH_rf_clf_gs_8.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_8.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_8.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_8.pickle']","['features_dataframes/sme_cder_train_X_HHH_8.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_8.csv', 'features_dataframes/sme_cder_test_X_HHH_8.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_8.csv']",33850.167716026306
HHH,9,"{'train_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'train_h_1_pairs': {'green': 1126.0, 'red': 1068.5}, 'train_h_2_pairs': {'green': 794.0, 'red': 742.0}}","{'test_h_0_pairs': {'green': 730.0, 'red': 711.0}, 'test_h_1_pairs': {'green': 1119.5, 'red': 1070.0}, 'test_h_2_pairs': {'green': 789.0, 'red': 744.0}}",0.9017223910840932,0.8,0.8711111111111112,0.876392262322635,"[[176  49]
 [ 50 220]]",classifiers/sme_cder_HHH_rf_clf_gs_9.pickle,"['cder_models/HHH_sme_cder_h0_model_iteration_9.pickle', 'cder_models/HHH_sme_cder_h1_model_iteration_9.pickle', 'cder_models/HHH_sme_cder_h2_model_iteration_9.pickle']","['features_dataframes/sme_cder_train_X_HHH_9.csv', 'features_dataframes/sme_cder_train_ylabels_HHH_9.csv', 'features_dataframes/sme_cder_test_X_HHH_9.csv', 'features_dataframes/sme_cder_test_ylabels_HHH_9.csv']",32695.50246667862
