,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
AlaCount,0.0018241047561448306,0.0006066847791634688,0.0004906861618686207,0.0034026606143307213,0.0023876346948801075,0.0003906603022738537,0.0007413233028561298,0.00031233803068653584,0.0008879378241960932,0.002692262586954946
T1_absq,0.0003507978890698676,0.0004981816452516558,0.0004841185932803587,0.0011465638431709631,0.0009766161917590594,0.00031338929586061765,0.00042300362404353915,0.00030901878755414515,0.0005818375420486144,0.0008894517984813754
T1_netq,0.000808163333359205,0.0011966931688484842,0.0003432387974142525,0.0026183238501586675,0.002271102321672484,0.0006368042963985823,0.0006430980889476892,0.000671106440684486,0.0009228192405395687,0.0015552355618149542
Tend_absq,0.0008266638873171413,0.000982586447506242,0.00129248864370879,0.0016614193729103807,0.001427627978995863,0.0012884222402443502,0.0006859221771515339,0.0008294045293061438,0.0009167933487294875,0.001145789944834176
Tend_netq,0.0035540362849918283,0.004977124696187244,0.004685890818426674,0.006184540600132381,0.005120433846078002,0.008994727767945994,0.002843878754509696,0.006254400836332529,0.003908249701551562,0.004723859051770374
Tminus1_absq,0.0005836346134671432,0.00037231601396746285,0.00041459671787712036,0.0012893507806586858,0.0010769229626996029,0.0003211289278860737,0.0003856421357709113,0.00027168574517483327,0.0006022769414546011,0.0008224260461978465
Tminus1_netq,0.0032067330519989874,0.002567284694629861,0.004593814036012193,0.004766523918026971,0.004211307751107617,0.0056620148079137315,0.003296739301422321,0.005373118124442985,0.004786778922684449,0.004262528392194977
abego_res_profile,0.011437485927806046,0.0028587915703452028,0.004624757804626459,0.011957771407980352,0.009214581352434578,0.002550900830259749,0.005077960375326423,0.002574830179045383,0.0046010070967583755,0.008707372171151449
abego_res_profile_penalty,0.007289759336903997,0.002336627660001144,0.00407460739480525,0.00696866502222337,0.004197996213434165,0.002686031142490787,0.0027536543870618053,0.0018305866339796818,0.002717336743286129,0.006462646611047141
avg_all_frags,0.0035122557830419543,0.00440583785781166,0.0045990749384714,0.006535901068197344,0.005699253145903804,0.004599090614533323,0.005662800134946466,0.004771995815441508,0.004577099190375841,0.0041467649977414145
avg_best_frag,0.007663952112146797,0.004343054466415483,0.005176487967315711,0.010315515938184389,0.008687233817851013,0.005968363860320568,0.005791111596845951,0.006222082666863564,0.006196473017065853,0.00901616649969872
bb,0.004151874460752556,0.003717241866024798,0.0016839611541661261,0.007538687831496514,0.006156312622990991,0.0024840686445081117,0.0035999905512865975,0.0034618052818912825,0.0032973831943362776,0.005577871578481864
buns_bb_heavy,1.3356127863834782e-05,3.340260442118125e-05,2.974405364648632e-05,0.00022807703378350714,0.00016627186574593773,2.4025006894217694e-05,1.7571216725227803e-05,1.16604579418078e-05,2.241453526754065e-05,0.00018021615703787725
buns_nonheavy,6.896131425748973e-05,7.493641889524603e-05,4.684872525470303e-05,0.00018174083073607008,0.00018545967308137922,5.651630362047256e-05,2.16776339768266e-05,2.7495531261166315e-05,1.015130131201743e-05,0.00019049873120036538
buns_sc_heavy,1.6695215787654115e-05,7.829412874414202e-06,1.5017352943164431e-06,5.442066288428653e-05,0.00010341012594261132,2.8880092466492114e-06,3.381800971131183e-05,4.2069830205864496e-06,1.6860423312778632e-06,8.708648104957714e-05
buried_minus_exposed,0.004833269365930077,0.004091031494770722,0.0028155611055804518,0.006195040925050526,0.006178369793901926,0.002113666385942296,0.004946640274071432,0.0026073265574480496,0.004757420624420729,0.005289024694206415
buried_np,0.039496036485748565,0.03287616172542329,0.0029985099374868485,0.02881971638822888,0.03228626983532111,0.012710494225797151,0.04171253477324036,0.025476277467957918,0.04183461964592793,0.03210264380741888
buried_np_AFILMVWY,0.06357081085359359,0.1266100231501166,0.3328704682373103,0.03487842639843085,0.051748784450707505,0.2562010044638056,0.10708264410025183,0.15095878457105694,0.08219967698238348,0.053853753421754094
buried_np_AFILMVWY_per_res,0.0453951458522788,0.13943805047514332,0.38038543801633945,0.04128602438098819,0.047976870343540624,0.2440863151033973,0.0961600554684752,0.13098116791794132,0.08045279827049635,0.061670019594763106
buried_np_per_res,0.02890235099420464,0.03944769567799174,0.0033259747243627796,0.029317068530082774,0.029052448437667366,0.014768631902818099,0.04046420660075786,0.02254629691082905,0.038073505703796605,0.03237172528790436
buried_over_exposed,0.0063133801565481,0.002456771377953807,0.0019544434710434167,0.007376677212407619,0.006886803460031582,0.0016115551245846234,0.0026615346345300332,0.0016506961938351674,0.0019761890472283715,0.005659336084886318
chymo_cut_sites,0.0034892170575545577,0.0025975219254445706,0.0008199309211906907,0.003975419120252413,0.0035743979096374136,0.0013327754396287134,0.0023176052680158057,0.0015993718542473125,0.003137553290037989,0.0030520503968201585
chymo_with_LM_cut_sites,0.007277200382312703,0.003346836559424561,0.0016813198452720682,0.00775537058671645,0.00634505534821752,0.0015385127503612195,0.002929005521753073,0.0018618103639040317,0.005325940272921858,0.0052118414197726975
contact_all,0.010130932417244535,0.013441466249143077,0.02021712206120963,0.011022397884035041,0.010488370144464751,0.025380519133831242,0.01163952403489795,0.011417559134499197,0.01249946042834984,0.010184571156260645
