,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
AlaCount,0.001229579864206997,0.0021334585027441002,0.002108677068346497,0.0010501906652694774,0.0008792928491823634,0.0010700788766177423,0.001696443722174851,0.0018356494494744789,0.0006331912992552715,0.0012085839048083967
T1_absq,0.005393302202868536,0.005843298247800311,0.004818485052084524,0.006431905284422621,0.004220751173852149,0.00483222677777359,0.005475635542930231,0.006226119499662101,0.0054764951141318755,0.005446901882724977
T1_netq,0.004285849667920211,0.004953570204286552,0.006635534909898451,0.005955800039498815,0.00731747148100057,0.006516867192588209,0.006394442138667601,0.007778348887675409,0.0052392736107839035,0.005119068776131878
Tend_absq,0.002756929017325351,0.003246073142151875,0.0036289362699071254,0.0028733263554530683,0.0026567972265182176,0.002717452816702397,0.003216148317180673,0.0036823942419382224,0.0024880678551752683,0.002692411261802182
Tend_netq,0.013462975832265573,0.012456250619245227,0.01222688993169437,0.016062734595036175,0.014619429309942535,0.012487811550467137,0.015412682756166614,0.015196212767811672,0.013685959123776754,0.013677373560188548
Tminus1_absq,0.0014671979597176222,0.0019015581194041814,0.0016982354067977233,0.0011841058782461687,0.001521668131337608,0.0009921308196507697,0.0018084527537762546,0.002288843655814501,0.0010729981033922326,0.0014138691582918435
Tminus1_netq,0.0035558975053875024,0.006114566518118265,0.00404584280572665,0.004358960224344797,0.00472021324504767,0.005145256352628577,0.006588586065849722,0.0054290268110384204,0.005385245146178003,0.004680700292575678
abego_res_profile,0.00616105492599566,0.00832142594103363,0.008057384014842458,0.006413194957675046,0.005245293491209489,0.008503846367916736,0.008413574823064538,0.008052880582215562,0.0056262293746551775,0.006307948210834022
abego_res_profile_penalty,0.009735595279015973,0.01147234829367865,0.009970431067026764,0.012781315892723237,0.0058683648854193395,0.006663682568198967,0.009882831809790901,0.011032371319259758,0.00931613522800087,0.011479225962878923
avg_all_frags,0.03858836122133902,0.02206254376351272,0.020474159698371536,0.03121495552501171,0.01980558881835494,0.027540825643802315,0.022469873245330462,0.02322087524233741,0.04150219351705585,0.02049276033324074
avg_best_frag,0.010487959207139701,0.008824648095569905,0.008331868179533944,0.007097437722612651,0.010023843432392696,0.008822524886793314,0.01102932145379817,0.011013238693698664,0.006655765546389694,0.009193316008619844
bb,0.0035627785985330443,0.0053438465267506815,0.005682772118774485,0.004060020255006886,0.003450613617235654,0.0033783590361079565,0.004620881991144838,0.005392727085304182,0.002597868591282416,0.00412568636210423
buns_bb_heavy,0.0006645883508444803,0.0007823853779641074,0.0007345080686821274,0.0006208532473162458,0.0004568353296016017,0.0002448162680724292,0.0007917055063273617,0.0008276660298748292,0.00046964749760249904,0.0007831276442786401
buns_nonheavy,0.00038107216972647445,0.0007360169198859487,0.0008900527973546825,0.000577148104767968,0.0004359059283246768,0.0004554441006190512,0.000700184495675041,0.0006384673773815028,0.0004927223700679879,0.000737376243939078
buns_sc_heavy,6.089106115201902e-05,0.00018207511656305236,0.0003058788912963458,6.403366077051441e-05,7.966336364056442e-05,0.0003415256908549834,0.00030677985917179753,0.00031815904319450634,0.0004335938669102493,0.00011673433554726712
buried_minus_exposed,0.005612657492697036,0.008793568132675244,0.007098362463752302,0.0066083163158607,0.006172410315660608,0.004883186775240754,0.008238347764162098,0.008721984934903714,0.008183408309372225,0.006586881273576441
buried_np,0.00659479236815847,0.008180596865764507,0.007044523690654902,0.005306696343691626,0.005511097522033805,0.004894422749121204,0.007444505245153998,0.0061557092990186845,0.004805372966486541,0.006984483595524538
buried_np_AFILMVWY,0.02715038629116251,0.03444485886320416,0.03386171473999517,0.0287055865116728,0.03959832789045826,0.030038138797639564,0.023842132914075057,0.019820166666829574,0.018535266643580576,0.02743024854257593
buried_np_AFILMVWY_per_res,0.024272722754325418,0.03681085014774405,0.03596315358447322,0.030748528973586892,0.039601399294627006,0.032255670870547454,0.024522058368528936,0.0218443584270667,0.022854191198773112,0.028000172284859213
buried_np_per_res,0.006302066953443224,0.008710012526415971,0.007037853481680613,0.006041928566833751,0.006278693707708798,0.005366442850768991,0.0069393693407077345,0.005823213832397449,0.0047257582955241096,0.0070456110279680595
buried_over_exposed,0.0037864014881276594,0.005679309883293765,0.0058077088174363295,0.003956385503146592,0.0037218222709283406,0.0038664008578403416,0.0059683809904623,0.005181597667716774,0.0035035580050545917,0.004622826878992985
chymo_cut_sites,0.0006595657750279349,0.0011030471634252052,0.0010077661961051883,0.0007358105548827873,0.0004665038497167624,0.00047621588569411966,0.0008226339623476804,0.000988419632388922,0.00038621602081870146,0.0007002557433211589
chymo_with_LM_cut_sites,0.002369902543046273,0.003010346935834998,0.0031171359605139796,0.0022745873766492103,0.001980482556742502,0.0016883988996917079,0.0029334715793302444,0.003260913158688801,0.0018076021921962563,0.0016245690140813496
contact_all,0.005062571965494645,0.007993119720335017,0.006001021821436482,0.007780394152812429,0.0062093559542214264,0.0041443342189782795,0.006455876687638713,0.0068799097600542695,0.005229907924460455,0.005449893266563386
contig_not_hp_avg,0.008799975491512124,0.01143268643762186,0.01430024842460543,0.009197602698617267,0.011425003780535306,0.012636550556982803,0.0169011712012969,0.01004141547325292,0.00954313167108309,0.011164679837464529
contig_not_hp_avg_norm,0.003064511601931462,0.00523808333432808,0.004862521837844972,0.003611489722899142,0.002807322446002975,0.004296506405711972,0.004976958591315374,0.004797130906160424,0.0034683157474392143,0.003778385038763401
contig_not_hp_internal_max,0.0018596815698102844,0.003298989166025043,0.002698030040647409,0.0031229869067516854,0.0010162241741167705,0.0020418272816724063,0.0023512590898311226,0.0029577209347180257,0.002066615871685832,0.001994617347530838
contig_not_hp_max,0.0021392688488272413,0.005479744698482452,0.004297051214124413,0.006454738396609363,0.002260083234146884,0.004367047786241419,0.0034991702295533106,0.005191728807508346,0.003235092297562287,0.003708567457660775
